T2,Opt_Energy
"(((0, 5), (2, 7)), ((1, 4), (3, 6)))",-1.5422865384731754
"(((0, 5), (2, 7)), ((1, 5), (3, 7)))",-1.4864544904544819
"(((0, 5), (2, 7)), ((0, 4), (2, 6)))",-1.4854807641309191
"(((0, 5), (2, 7)), ((1, 4), (2, 7)))",-1.42173562690051
"(((0, 5), (2, 7)), ((0, 4), (3, 7)))",-1.554531392676567
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.458381842632113
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-1.4572835206054628
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.5733733635139202
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.4210260219412152
"(((1, 4), (3, 6)), ((1, 5), (3, 7)))",-1.4864544920902538
"(((1, 4), (3, 6)), ((0, 4), (2, 6)))",-1.4854807651035993
"(((1, 4), (3, 6)), ((1, 4), (2, 7)))",-1.4210260299577795
"(((1, 4), (3, 6)), ((0, 4), (3, 7)))",-1.554531400208978
"(((1, 4), (3, 6)), ((0, 1), (2, 3)))",-1.4572835324832247
"(((1, 4), (3, 6)), ((4, 5), (6, 7)))",-1.458381842154845
"(((1, 4), (3, 6)), ((1, 5), (2, 6)))",-1.5733733650660617
"(((1, 4), (3, 6)), ((0, 5), (3, 6)))",-1.4217356436938837
"(((1, 5), (3, 7)), ((0, 4), (2, 6)))",-1.5309524488151836
"(((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.552495236639072
"(((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.4186625788369713
"(((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.4491353461237046
"(((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.4491353442466977
"(((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.429800245177981
"(((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.5524952424865905
"(((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.5516300139440016
"(((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.4168855807485266
"(((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.4482379475682257
"(((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.4482379487814312
"(((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.4299552642786073
"(((0, 4), (2, 6)), ((0, 5), (3, 6)))",-1.5516300129938945
"(((1, 4), (2, 7)), ((0, 4), (3, 7)))",-1.4797083864703764
"(((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.4631993419922054
"(((1, 4), (2, 7)), ((4, 5), (6, 7)))",-1.468089565160091
"(((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.4953229621208821
"(((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.5203075836107252
"(((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.4555473882382668
"(((0, 4), (3, 7)), ((4, 5), (6, 7)))",-1.4555473889793007
"(((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.5348841561885103
"(((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.4797083864047027
"(((0, 1), (2, 3)), ((4, 5), (6, 7)))",-1.3230227841075115
"(((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.4786313063089673
"(((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.468089575194407
"(((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.4786313096221562
"(((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.4631993484672703
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.4953229592738657
